power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
41.01 W, 561 MiB, 12 %, 3 %
40.04 W, 561 MiB, 12 %, 3 %
47.13 W, 561 MiB, 11 %, 3 %
40.71 W, 561 MiB, 11 %, 3 %
39.94 W, 561 MiB, 14 %, 4 %
45.57 W, 561 MiB, 15 %, 4 %
40.62 W, 561 MiB, 15 %, 4 %
40.04 W, 561 MiB, 11 %, 3 %
45.28 W, 561 MiB, 11 %, 3 %
40.62 W, 561 MiB, 11 %, 3 %
39.94 W, 561 MiB, 11 %, 3 %
45.57 W, 561 MiB, 11 %, 3 %
40.71 W, 561 MiB, 11 %, 3 %
40.04 W, 561 MiB, 11 %, 3 %
48.55 W, 561 MiB, 12 %, 3 %
41.21 W, 561 MiB, 17 %, 5 %
40.04 W, 561 MiB, 17 %, 5 %
52.44 W, 561 MiB, 12 %, 4 %
41.98 W, 561 MiB, 11 %, 3 %
40.33 W, 561 MiB, 11 %, 3 %
61.01 W, 691 MiB, 12 %, 4 %
43.82 W, 561 MiB, 12 %, 4 %
40.53 W, 561 MiB, 12 %, 3 %
40.04 W, 561 MiB, 12 %, 4 %
48.37 W, 561 MiB, 12 %, 4 %
41.30 W, 561 MiB, 11 %, 4 %
40.23 W, 561 MiB, 11 %, 4 %
62.67 W, 691 MiB, 12 %, 3 %
44.50 W, 561 MiB, 12 %, 4 %
40.82 W, 561 MiB, 12 %, 4 %
40.04 W, 561 MiB, 11 %, 4 %
52.52 W, 561 MiB, 13 %, 4 %
42.56 W, 561 MiB, 13 %, 4 %
40.43 W, 561 MiB, 14 %, 4 %
40.04 W, 561 MiB, 14 %, 4 %
50.01 W, 561 MiB, 14 %, 4 %
41.98 W, 561 MiB, 12 %, 4 %
40.33 W, 561 MiB, 12 %, 4 %
39.94 W, 561 MiB, 12 %, 4 %
48.57 W, 561 MiB, 12 %, 4 %
41.78 W, 561 MiB, 12 %, 4 %
40.33 W, 561 MiB, 12 %, 4 %
40.03 W, 561 MiB, 12 %, 4 %
51.17 W, 561 MiB, 12 %, 4 %
42.27 W, 561 MiB, 12 %, 4 %
40.42 W, 561 MiB, 12 %, 4 %
39.94 W, 561 MiB, 12 %, 4 %
57.36 W, 561 MiB, 12 %, 4 %
43.82 W, 561 MiB, 13 %, 4 %
40.81 W, 561 MiB, 12 %, 4 %
40.14 W, 561 MiB, 12 %, 4 %
53.39 W, 691 MiB, 12 %, 4 %
47.22 W, 561 MiB, 12 %, 4 %
41.68 W, 561 MiB, 12 %, 4 %
40.42 W, 561 MiB, 12 %, 4 %
40.04 W, 561 MiB, 12 %, 4 %
58.91 W, 561 MiB, 12 %, 4 %
44.89 W, 561 MiB, 13 %, 4 %
41.20 W, 561 MiB, 13 %, 4 %
40.23 W, 561 MiB, 12 %, 4 %
40.04 W, 561 MiB, 12 %, 4 %
55.74 W, 561 MiB, 10 %, 3 %
